Registration Number,Annual Turnover
50001,30257298.15
50002,22881491.43
50003,25192714.61
50004,38133772.61
50005,33261048.61
50006,37279310.2
50007,27543439.89
50008,23984030.69
50009,31487633.81
50010,26643912.98
50011,35254568.38
50012,22790329.71
50013,29165031.25
50014,31337764.67
50015,35311792.63
50016,25313607.63
50017,15008731.35
50018,21750870.16
50019,36972669.52
50020,22870837.38
50021,32260923.92
50022,33673673.56
50023,29724528.32
50024,29033793.21
50025,24130614.25
50026,33957329.5
50027,41093685.54
50028,10768787.48
50029,34242736.72
50030,23500504.37
50031,43374182.97
50032,34920135.47
50033,46781400.39
50034,26839906.39
50035,33345416.06
50036,30415950.06
50037,53699496.61
50038,21539992.82
50039,37958425.91
50040,27778052.98
50041,42034414.92
50042,42922477.25
50043,23292731.89
50044,27823996.01
50045,39623732.21
50046,36306692.46
50047,19265863.84
50048,48043217.19
50049,35002968.26
50050,23278969.88
50051,16863000.77
50052,24532534.3
50053,32261876.88
50054,17089061.54
50055,35557879.25
50056,34729856.4
50057,33704712.54
50058,38326086.39
50059,20357149.37
50060,23720273.42
50061,33743586.35
50062,28660689.01
50063,30180403.33
50064,28590236.37
50065,44770906.97
50066,30578439.7
50067,19915818.31
50068,31518733.27
50069,28111809.73
50070,23359209.74
50071,23331613.15
50072,42552619.64
50073,26061771.84
50074,29245648.94
50075,29060343.15
50076,35639428.42
50077,34167734.85
50078,17196887.63
50079,26959169.82
50080,35462102.8
50081,15922067.99
50082,35157186.78
50083,23578890.39
50084,31583476.27
50085,29689504.58
50086,23728328.76
50087,21491734.2
50088,48175227.45
50089,38902021.59
50090,36955015.89
50091,20870070.92
50092,24785430.94
50093,27888626.55
50094,27406065.07
50095,36641783.17
50096,26446506.97
50097,30322872.27
50098,40815996.68
50099,32701493.12
50100,35169158.7
50101,34290165.57
50102,31370467.83
50103,29601666.74
50104,28855112.86
50105,30992181.22
50106,23996823.17
50107,39284024.29
50108,24968544.7
50109,37483586.03
50110,35805688.5
50111,30912486.3
50112,26956590.54
50113,18866623.76
50114,37133508.22
50115,25595656.69
50116,29747128.32
50117,23266390.83
50118,24993957.28
50119,12831190.72
50120,25122373.82
50121,20205666.72
50122,20591049.97
50123,30244980.47
50124,25493984.77
50125,19999164.18
50126,22106059.07
50127,27211252.54
50128,27924081.16
50129,15927264.55
50130,28150371.42
50131,22493997.64
50132,21668907.5
50133,33622640.58
50134,26790841.49
50135,29541286.37
50136,39252692.52
50137,35649704.54
50138,31052939.44
50139,22430617.44
50140,15658310.05
50141,30781984.7
50142,33759411.85
50143,30210620.05
50144,22521326.91
50145,23634061.28
50146,38617122.09
50147,46380303.6
50148,21885888.83
50149,21289918.77
50150,33474069.16
50151,34698715.08
50152,10862365.67
50153,36552198.91
50154,20076521.24
50155,36220471.71
50156,22592841.11
50157,31573780.14
50158,42582977.32
50159,32414704.65
50160,18883230.57
50161,30454009.2
50162,45649686.61
50163,21405328.41
50164,40472030.85
50165,27575598.7
50166,17591899.35
50167,41935914.51
50168,28613703.95
50169,33693959
50170,33280690.04
50171,32960746.64
50172,31288403.24
50173,33961211.58
50174,38710369.72
50175,40456796.69
50176,42097067.43
50177,19798195.44
50178,50661303.07
50179,12435173.42
50180,38477931.25
50181,23395567.08
50182,35393692.22
50183,15582993.25
50184,39947424.57
50185,35471183.17
50186,32963801.91
50187,25630619.28
50188,37707464.34
50189,27653764.89
50190,21978338.9
50191,18263202.12
50192,38210775.99
50193,43934709.7
50194,28408466.63
50195,32948997.34
50196,18429070.57
50197,17320521.02
50198,21864190.33
50199,16520015.55
50200,50673914.05
50201,17482566.79
50202,27528906.1
50203,15961291.56
50204,44167517.11
50205,33423263.17
50206,41903105.9
50207,14863252.94
50208,48641735.46
50209,31909024.99
50210,42397722.26
50211,31627317.2
50212,34369056.76
50213,40028809.53
50214,30686907.67
50215,33479247.58
50216,29702027.36
50217,16897750.01
50218,40161514.23
50219,21042667.37
50220,30004930.72
50221,45254342.13
50222,25378684.88
50223,27915038.52
50224,19996973.78
50225,26752326.97
50226,33065541.97
50227,27065958.99
50228,25087674.76
50229,21512037.73
50230,43326473.91
50231,24645217.04
50232,21292500.07
50233,21085136.05
50234,43772613.91
50235,30632088.15
50236,44527823.32
50237,20700264.59
50238,15044066.31
50239,28875931.94
50240,22273598.38
50241,29328851.96
50242,31786634.66
50243,27696494.42
50244,36472750.81
50245,26941660.01
50246,38669526.92
50247,31087698.87
50248,33665064.79
50249,31054236.05
50250,25103992.67
50251,33997073.54
50252,21581658.41
50253,39375130.98
50254,30653752.78
50255,38073530.76
50256,31001728.44
50257,23071876.82
50258,19601847.71
50259,38751889.21
50260,28061121.26
50261,21541311.29
50262,20445410.5
50263,19848450.7
50264,20885091.63
50265,19931900.59
50266,21230699.55
50267,26313950.26
50268,39322479.03
50269,49258761.97
50270,32366432.97
50271,24280526.05
50272,32615023.52
50273,22691452.65
50274,8724967.759
50275,24641673.69
50276,29097027.49
50277,29389038.34
50278,24045338.39
50279,25313819.71
50280,24393090.58
50281,29471824.28
50282,40826697.91
50283,22499203.05
50284,42095913.92
50285,24574468.75
50286,14609003.43
50287,14978432.44
50288,49503233
50289,23934504.05
50290,32384411.75
50291,27771483.1
50292,23555130.63
50293,27473451.76
50294,19643508.87
50295,34907477.25
50296,30604966.91
50297,24703060.99
50298,29950472.96
50299,39530618.54
50300,31625094.71
50301,42189949.98
50302,25975504.58
50303,14021416.59
50304,39277000.33
50305,21739127.3
50306,38330297.51
50307,26066876.05
50308,36075661.6
50309,17145589.36
50310,26573241.47
50311,24509763.36
50312,38809240.17
50313,30048213.44
50314,33145180.27
50315,23792289.7
50316,35230438.01
50317,29853731.86
50318,31719075.76
50319,25042933.45
50320,37055242.93
50321,23823914.07
50322,23486949.67
50323,27262760.81
50324,32182354.77
50325,17692871.83
50326,32552757.26
50327,32256705.59
50328,33996509.92
50329,45088801.4
50330,24966560.49
50331,15614459.82
50332,33833584.09
50333,25008326.83
50334,27541976.01
50335,35871736.48
50336,34876704.56
50337,15960230.26
50338,17329216.78
