Registration Number,Annual Turnover
50001,33725258.16
50002,26714861.56
50003,29348504.36
50004,40781506.85
50005,34031020.49
50006,39467619.06
50007,29418846.69
50008,22956200
50009,33360509.9
50010,28873189.37
50011,38149480.31
50012,25075596.2
50013,33606066.03
50014,29264144.16
50015,38173025.4
50016,27293374.96
50017,19853387.45
50018,28239868.83
50019,37863847.68
50020,24920338.43
50021,37751985.19
50022,32754222.98
50023,31426783.07
50024,31762246.99
50025,29511863.92
50026,36779438.73
50027,39934921.63
50028,16384871.06
50029,37472988.17
50030,23918062.45
50031,46379019.73
50032,37681914.12
50033,43614497.15
50034,30371361.85
50035,37961987.38
50036,28977344.73
50037,53888177.84
50038,26538064.93
50039,35674157.02
50040,28056510.52
50041,40939969.67
50042,47054593.23
50043,23764057.39
50044,31808867.97
50045,37776361.24
50046,34732652.42
50047,20213895.35
50048,48898586.88
50049,36586681.31
50050,22706137.27
50051,19470418.26
50052,25993518.77
50053,34201152.35
50054,23883535.97
50055,36204311.78
50056,36864200.15
50057,32031003.2
50058,39262708.9
50059,23075166.64
50060,27365221.11
50061,31660192.28
50062,32859853.21
50063,31837153.07
50064,34694633.67
50065,50636872.56
50066,31280559.2
50067,22255834.68
50068,33380310.2
50069,30803235.87
50070,24395888.6
50071,26409593.39
50072,44437086.41
50073,25765285.53
50074,30087920.94
50075,29295039.87
50076,32995569.2
50077,34623192.53
50078,16677845.53
50079,28085045.71
50080,29538790.48
50081,16389148.78
50082,36064903.96
50083,26987236.77
50084,35367568.48
50085,33303918.6
50086,26620647.07
50087,21970231.86
50088,50219628.94
50089,37822704.36
50090,34163186.09
50091,21469099.07
50092,31838224.39
50093,29136907.92
50094,30991639.1
50095,38961947.31
50096,24956937.02
50097,31499494.39
50098,35441097.04
50099,33182242.71
50100,37837615.27
50101,38100279.41
50102,32600163.4
50103,30580405.56
50104,30498258.66
50105,29422451.75
50106,27493909.85
50107,41314653.21
50108,30940017.21
50109,41635809.45
50110,37250234.5
50111,35191040.71
50112,28975860.86
50113,22734160.42
50114,39477495.77
50115,28608322.32
50116,37522650.15
50117,26014974.8
50118,25395660.6
50119,17791869.16
50120,25024781.56
50121,25151443.01
50122,22737794.8
50123,33923675.5
50124,26717023.5
50125,20844131.58
50126,20874456.85
50127,26798895.46
50128,29857921.09
50129,20326318.06
50130,32656009.77
50131,27777686.54
50132,23374568.97
50133,37107553.42
50134,26477461.77
50135,31883439.5
50136,41137977.95
50137,39260637.8
50138,31553373.07
50139,23237484.33
50140,19826610.88
50141,32272735.14
50142,36185490.55
50143,26025800.25
50144,28699459.06
50145,25705710.55
50146,37750554.42
50147,46774478.34
50148,24464479.25
50149,25244819.06
50150,35912990.9
50151,31361718.41
50152,16665401.25
50153,39346552.79
50154,19349186.02
50155,40814039.33
50156,25043176.36
50157,36015538.09
50158,44237954.82
50159,34239601.36
50160,21395285.91
50161,32509967.02
50162,48967107.33
50163,25146232.78
50164,40562020.71
50165,30038834.29
50166,20717671.05
50167,39403869.14
50168,33463307.12
50169,37597158.9
50170,34234711.78
50171,33778981.72
50172,34472393.7
50173,37946767.37
50174,37469035.29
50175,39179428.58
50176,40399879.89
50177,30032205.26
50178,48712536.17
50179,15390476.44
50180,43174514.16
50181,26539586.4
50182,33334431.43
50183,22283110.99
50184,41633612.87
50185,37434747.56
50186,32043198.61
50187,25675164.89
50188,43591269.61
50189,27439440
50190,28083385.78
50191,24589640.01
50192,39005695.33
50193,35775006.8
50194,30663924.39
50195,37653945.48
50196,20636856.7
50197,22983703.42
50198,22520201.23
50199,22602948
50200,52229737.22
50201,19482366.61
50202,28410668.29
50203,18126491.1
50204,46078715.1
50205,31193761.24
50206,41745391.55
50207,23785358.35
50208,51679258.38
50209,32004022.95
50210,44658266.4
50211,32638387.42
50212,34146774.99
50213,38241366.62
50214,33778643.56
50215,34528909.38
50216,33777018.84
50217,20573720.2
50218,38594745.14
50219,19163612
50220,31354637.08
50221,45223932.58
50222,28688030.78
50223,32438387.17
50224,23578041.61
50225,29118847.3
50226,33640278.19
50227,27018079.48
50228,30675853.04
50229,24989020.28
50230,43523431.7
50231,31099035.6
50232,21450791.99
50233,24964053.92
50234,44760952.51
50235,34617079.3
50236,52041449.09
50237,24149856.51
50238,19638417.51
50239,31775550.42
50240,29082931.05
50241,33047197.57
50242,34393573.24
50243,29197288.26
50244,36653251.51
50245,29984507.71
50246,38211615.28
50247,34523778.09
50248,34730901.82
50249,34601132.75
50250,27421237.05
50251,36480879.4
50252,25548553.12
50253,38921877.66
50254,33912791.55
50255,36338930.18
50256,35561166.2
50257,29310271.41
50258,21989996.5
50259,36103950.48
50260,30275383.83
50261,26418988.07
50262,23779857.94
50263,27054346.05
50264,28077889.48
50265,24767537.24
50266,25278540.91
50267,33200577.79
50268,38360701.56
50269,52076091.09
50270,36930357.35
50271,27050344.54
50272,34820629.41
50273,26685857.21
50274,11129337.22
50275,28297486.93
50276,32592184.29
50277,29419097.97
50278,26239653.06
50279,31372442.8
50280,29882868.75
50281,30802493.72
50282,40085286.69
50283,24074678.25
50284,43952471.99
50285,25035119.01
50286,18522180.63
50287,19172713.38
50288,51554913.77
50289,28758819.8
50290,33210163.93
50291,31085821.73
50292,25629142.14
50293,29104810.61
50294,22809231.37
50295,40340362
50296,32120687.97
50297,23118945.43
50298,34247296.18
50299,38685898.52
50300,32543953.19
50301,42021138.52
50302,27391667.94
50303,20948054.69
50304,41180454.64
50305,23186899.81
50306,37967613.45
50307,27445656.96
50308,36801302.32
50309,22309573.77
50310,26885817.05
50311,27420152.81
50312,39887207.87
50313,30361203.51
50314,32516652.46
50315,24496373.75
50316,36369802.06
50317,34390171.95
50318,34742880.56
50319,27271072.09
50320,36679983.1
50321,26084224.51
50322,28177625.89
50323,28608896.73
50324,34659095.33
50325,21436387.61
50326,34993279.07
50327,37426032
50328,32977559.28
50329,45387848.52
50330,28294221.07
50331,17537024.16
50332,32390868.77
50333,30667009.47
50334,29708581.48
50335,39139377.92
50336,39712324.12
