Registration Number,Annual Turnover
50001,27371685.82
50002,28565362.24
50003,28951839.44
50004,31916462.04
50005,33217765.03
50006,29959615.44
50007,31397897.69
50008,32395889.46
50009,31344084.41
50010,33540644.71
50011,32508408.13
50012,27366793.7
50013,25586063.3
50014,29822636.18
50015,29827528.3
50016,28350109.12
50017,25356133.82
50018,36079653.17
50019,39924856.74
50020,26505781.2
50021,38877943.81
50022,32894885.34
50023,33359636.4
50024,31060341.65
50025,31569121.77
50026,29020329.08
50027,33760789.96
50028,30634727.52
50029,28932270.98
50030,27733702.44
50031,33085677.88
50032,30292279.36
50033,26398154.64
50034,27508665.08
50035,31945814.74
50036,35091445.64
50037,33437910.27
50038,28428382.98
50039,33408557.57
50040,29377453.58
50041,32513300.25
50042,37826138.76
50043,26393262.52
50044,29216013.74
50045,29245366.43
50046,30859764.88
50047,33100354.23
50048,32596466.23
50049,31745237.96
50050,33887984.99
50051,29260042.78
50052,28932270.98
50053,32156175.75
50054,32092578.23
50055,27782623.6
50056,33785250.54
50057,33858632.29
50058,27640752.22
50059,30262926.66
50060,26089951.3
50061,33119922.7
50062,28604499.17
50063,37884844.16
50064,30761922.55
50065,30962499.32
50066,33159059.63
50067,27596723.18
50068,28536009.54
50069,29993860.26
50070,27890250.17
50071,26099735.53
50072,30678756.57
50073,28389246.05
50074,35737205.02
50075,28355001.23
50076,35203964.32
50077,33066109.41
50078,27445067.56
50079,34294030.65
50080,29822636.18
50081,28663204.57
50082,28296295.83
50083,27405930.63
50084,31896893.57
50085,28017445.19
50086,27268951.37
50087,33163951.74
50088,30507532.49
50089,35306698.77
50090,35443678.03
50091,28056582.13
50092,32043657.07
50093,38413192.74
50094,31578906
50095,31050557.42
50096,27156432.69
50097,29181768.92
50098,28487088.38
50099,30380337.46
50100,36290014.18
50101,28829536.53
50102,33159059.63
50103,25869806.05
50104,30360768.99
50105,33819495.35
50106,29108387.17
50107,33565105.3
50108,30346092.64
50109,33437910.27
50110,32209989.03
50111,30830412.18
50112,31393005.57
50113,29700333.27
50114,29274719.13
50115,28819752.3
50116,30977175.67
50117,25326781.12
50118,28120179.64
50119,30620051.17
50120,27621183.76
50121,27831544.77
50122,27988092.5
50123,28584930.71
50124,39372047.57
50125,28203345.62
50126,27449959.68
50127,32816611.47
50128,29827528.3
50129,32004520.14
50130,34230433.14
50131,27992984.61
50132,28697449.39
50133,28159316.57
50134,32151283.63
50135,28355001.23
50136,30639619.63
50137,30218897.62
50138,28712125.74
50139,30977175.67
50140,27885358.05
50141,29206229.5
50142,30673864.45
50143,27141756.34
50144,26853121.47
50145,31564229.65
50146,33271578.31
50147,32635603.16
50148,29680764.8
50149,29729685.97
50150,26065490.71
50151,33222657.14
50152,32278478.66
50153,30179760.68
50154,34034748.48
50155,30487964.02
50156,29377453.58
50157,29744362.32
50158,41045151.41
50159,25757287.37
50160,28707233.62
50161,32792150.89
50162,34489715.31
50163,30062349.89
50164,29587814.59
50165,26006785.32
50166,28986084.26
50167,35076769.29
50168,29196445.27
50169,27513557.2
50170,31534876.95
50171,30194437.03
50172,35179503.74
50173,29357885.11
50174,32728553.38
50175,32978051.32
50176,30713001.38
50177,31304947.48
50178,33462370.85
50179,30072134.12
50180,28751262.67
50181,30145515.87
50182,33168843.86
50183,24573395.18
50184,31618042.93
50185,30766814.66
50186,29685656.92
50187,28795291.72
50188,29597598.82
50189,26451967.92
50190,31353868.64
50191,31378329.22
50192,30297171.48
50193,39792769.59
50194,28565362.24
50195,31241349.96
50196,35203964.32
50197,28736586.32
50198,34059209.06
50199,29969399.68
50200,33296038.89
50201,25639876.58
50202,25781747.96
50203,27591831.06
50204,36598217.52
50205,32904669.57
50206,33716760.91
50207,24147781.05
50208,27777731.49
50209,29343208.76
50210,33168843.86
50211,27542909.89
50212,32606250.46
50213,32826395.71
50214,27777731.49
50215,27660320.69
50216,31549553.3
50217,29220905.85
50218,28193561.39
50219,26246499.02
50220,35952458.15
50221,33203088.68
50222,28154424.46
50223,26750387.02
50224,31984951.67
50225,30634727.52
50226,31011420.49
50227,27591831.06
50228,29622059.4
50229,34416333.57
50230,30169976.45
50231,30072134.12
50232,30473287.67
50233,29940046.98
50234,32542652.95
50235,29646519.99
50236,29079034.47
50237,31143507.63
50238,31481063.67
50239,27792407.84
50240,32361644.64
50241,31485955.79
50242,30174868.57
50243,27792407.84
50244,32635603.16
50245,29216013.74
50246,40521694.95
50247,30483071.91
50248,33736329.37
50249,28154424.46
50250,32968267.09
50251,33966258.85
50252,29289395.48
50253,33124814.81
50254,30644511.75
50255,27156432.69
50256,31564229.65
50257,35414325.33
50258,28046797.89
50259,34788134.42
50260,30355876.88
50261,29367669.35
50262,29372561.46
50263,32161067.86
50264,28922486.75
50265,34142375.04
50266,28604499.17
50267,32351860.41
50268,32390997.34
50269,31779482.78
50270,31843080.29
50271,27518449.31
50272,29886233.69
50273,30311847.83
50274,28071258.48
50275,30463503.44
50276,28369677.58
50277,26711250.09
50278,27748378.79
50279,30077026.24
50280,29910694.28
50281,30771706.78
50282,32889993.22
50283,28868673.46
50284,34294030.65
50285,25752395.26
50286,27337441
50287,29690549.03
50288,29871557.35
50289,30664080.22
50290,27401038.52
50291,27127079.99
50292,25488220.97
50293,37092321.29
50294,28751262.67
50295,31251134.2
50296,27332548.89
50297,28144640.22
50298,32009412.25
50299,40076512.35
50300,30306955.71
50301,33741221.49
50302,29837312.53
50303,22797556.9
50304,32650279.51
50305,27748378.79
50306,43046027.06
50307,26349233.47
50308,34215756.79
50309,30585806.35
50310,31490847.9
50311,30086810.47
50312,34641370.93
50313,31055449.54
50314,32596466.23
50315,33936906.15
50316,28800183.83
50317,30282495.13
50318,29734578.08
50319,34509283.78
50320,29000760.61
50321,30233573.97
50322,30209113.38
50323,29984076.02
50324,28800183.83
50325,31725669.5
50326,29675872.69
50327,31901785.69
50328,35927997.56
50329,32679632.21
50330,27763055.14
50331,26251391.14
50332,29372561.46
50333,29035005.42
50334,27058590.36
50335,29118171.41
50336,31857756.64
50337,27626075.88
50338,27684781.27
50339,29778607.13
50340,28677880.92
50341,33516184.13
50342,27880465.93
50343,30453719.21
50344,26334557.12
50345,39420968.74
50346,27865789.58
50347,27777731.49
50348,31515308.49
50349,29225797.97
50350,29455727.44
50351,27136864.23
50352,28149532.34
50353,34646263.04
50354,35213748.56
50355,28408814.51
50356,29343208.76
50357,28990976.38
50358,29617167.29
50359,34347843.94
50360,41103856.81
50361,28154424.46
50362,26476428.5
50363,29553569.77
50364,33560213.18
50365,28271835.25
50366,32655171.63
50367,29074142.36
50368,27322764.65
50369,36984694.73
50370,28873565.58
50371,29333424.53
50372,31270702.66
50373,29744362.32
50374,31099478.58
50375,26584055.06
50376,30135731.64
50377,27141756.34
50378,27107511.53
50379,36994478.96
50380,29964507.56
50381,33506399.9
50382,28946947.33
50383,24343465.71
50384,28653420.34
50385,29216013.74
50386,31040773.19
50387,28814860.18
50388,29338316.65
50389,29568246.12
50390,33912445.57
50391,29323640.3
50392,25840453.36
50393,27552694.13
50394,30796167.36
50395,28340324.88
50396,30781491.01
50397,27875573.82
50398,29680764.8
50399,29529109.19
50400,30942930.86
50401,33007404.02
50402,29925370.63
50403,28462627.8
50404,28775723.25
50405,35101229.88
50406,33692300.33
50407,34137482.93
50408,29455727.44
50409,31383221.34
50410,30874441.23
50411,33159059.63
50412,27342333.12
50413,35874184.28
50414,28364785.47
50415,32748121.84
50416,27048806.13
50417,28340324.88
50418,31476171.55
50419,29343208.76
50420,29318748.18
50421,25879590.29
50422,26946071.68
50423,34964250.61
50424,41514794.6
50425,33212872.91
50426,32024088.6
50427,28746370.55
50428,32894885.34
50429,29685656.92
50430,31412574.04
50431,28276727.37
50432,31221781.5
50433,27493988.73
50434,31172860.33
50435,28809968.07
50436,34059209.06
50437,29822636.18
50438,32126823.05
50439,32273586.54
50440,29524217.07
50441,30395013.81
50442,28746370.55
50443,25972540.5
50444,34827271.35
50445,30703217.15
50446,29225797.97
50447,33110138.46
50448,30218897.62
50449,39068736.35
50450,27234706.56
50451,28340324.88
50452,25639876.58
50453,32542652.95
50454,27630967.99
50455,27909818.63
50456,32249125.96
50457,27239598.67
50458,35883968.51
50459,27420606.98
50460,33017188.25
50461,28149532.34
50462,29255150.67
50463,28007660.96
50464,35972026.61
50465,30375445.34
50466,31026096.84
50467,30385229.58
50468,31481063.67
50469,31001636.25
50470,30155300.1
50471,31040773.19
50472,26897150.52
50473,27963631.91
50474,33932014.03
50475,27166216.92
50476,31691424.68
50477,30096594.7
50478,29837312.53
50479,27547802.01
50480,32092578.23
50481,30032997.19
50482,33168843.86
50483,38462113.91
