Registration Number,Annual Turnover
50001,34209328.1
50002,28277865.58
50003,25341630.85
50004,38091632.26
50005,33189577.32
50006,40318182.97
50007,25860745.71
50008,22979830
50009,33090194.65
50010,33595187.35
50011,37004956.32
50012,18660240.61
50013,30374477.56
50014,32707089.8
50015,39121389.26
50016,31046158.83
50017,18811848.8
50018,29202619.14
50019,41297753.95
50020,34325036.45
50021,30884245.61
50022,34571583.24
50023,23367244.4
50024,26476452.75
50025,22447961.76
50026,33364671.72
50027,33229986.02
50028,21754292.59
50029,29327204.52
50030,25477550.57
50031,44201573.68
50032,37084399
50033,42635140.71
50034,28909355.61
50035,33319866.91
50036,24467704.6
50037,35833107.78
50038,28092393.93
50039,32759916.27
50040,29029007.26
50041,35605480.54
50042,39447292.92
50043,29105648.37
50044,37245988.83
50045,33510225.49
50046,31057203.2
50047,19199837.52
50048,40601526.47
50049,39520628.18
50050,22239290.32
50051,21589115.6
50052,21321906.28
50053,34052275.9
50054,24890679.74
50055,38755445.08
50056,34579303.36
50057,31370195.6
50058,39524837.53
50059,32332765.44
50060,21057059.19
50061,28161103.59
50062,32526873.64
50063,26004663.24
50064,29070676.25
50065,45272877.64
50066,28270279.1
50067,20946333.17
50068,32599668.07
50069,32845849.66
50070,26229481.22
50071,28344031.95
50072,37300003.63
50073,30729939.2
50074,27572208.83
50075,30172101.23
50076,27488704.06
50077,25756644.07
50078,20259389.63
50079,24000720.08
50080,35277567.51
50081,24683503.81
50082,34921968.35
50083,24023281.94
50084,33255292.03
50085,30988640.28
50086,28718859.61
50087,26576054.03
50088,47373902.41
50089,41594964.99
50090,27408076.49
50091,17765172.76
50092,25958171.85
50093,26110956.34
50094,29613665.82
50095,38243533.44
50096,26694496.15
50097,29839756.18
50098,37859223.68
50099,34516982.5
50100,32646069.38
50101,34030364.78
50102,27556952.25
50103,34835259.73
50104,33834639.96
50105,36550891.22
50106,32810058.15
50107,40277425.61
50108,32178715.21
50109,44578398.57
50110,33910347.78
50111,37288721.54
50112,27408044.8
50113,25535856.03
50114,34866623.26
50115,24779375.31
50116,35716972.07
50117,28077319.24
50118,22649827.41
50119,11111484.87
50120,22606402.55
50121,28775493.63
50122,24800234.78
50123,31379472.34
50124,18963018.64
50125,24334479.47
50126,21633315.88
50127,27215537.35
50128,25945275.85
50129,22208638.26
50130,35425196.62
50131,27022361.54
50132,28053794.19
50133,36700206.75
50134,24874072.37
50135,34061197.96
50136,41112043.36
50137,33712613.62
50138,36126259.7
50139,25456822.02
50140,25421038.46
50141,31408618.23
50142,32975075.48
50143,24703450
50144,32824003.38
50145,27105927.25
50146,34886188.33
50147,39562576.42
50148,25648506.6
50149,23593555.32
50150,35315891.54
50151,28379449.92
50152,13214506.35
50153,40568645.37
50154,20839693.82
50155,38396594.21
50156,23158171.36
50157,32866069.49
50158,41947275.62
50159,29140640.41
50160,18578224
50161,34788814.94
50162,45467735.39
50163,29837086.52
50164,38609386.4
50165,34274186.47
50166,19874708.41
50167,32408820.32
50168,30516489.12
50169,34233482.34
50170,34745056.01
50171,43044407.4
50172,31538239.82
50173,39079794
50174,31446214.26
50175,35594872.75
50176,32342619.21
50177,36453226.42
50178,42851389.22
50179,16876959.39
50180,41475752.85
50181,23410908.06
50182,32146476.51
50183,24100611.67
50184,39700114.82
50185,36764187.5
50186,33226849.82
50187,22278837.16
50188,39536871.23
50189,27422649.44
50190,33830449.09
50191,28317448.87
50192,38368126.2
50193,39149047.78
50194,27648280.46
50195,38045522.57
50196,24935454.22
50197,26741407.51
50198,26166988.95
50199,25845972.75
50200,46169515.72
50201,18216211.04
50202,29812282.61
50203,14557254.02
50204,39985665.88
50205,28179449.13
50206,40034308.07
50207,23248538.95
50208,44741311.19
50209,29375215.66
50210,35147607.55
50211,35882387.63
50212,34192090.11
50213,38912642.93
50214,35066023.35
50215,34066025.29
50216,34406220.22
50217,17432402.73
50218,38528629.67
50219,23087889.88
50220,26228627.28
50221,44384895.05
50222,27032983.22
50223,29300557.62
50224,19903593.6
50225,30137018.72
50226,33716155.67
50227,25108392.73
50228,27598249.12
50229,19238715.14
50230,42251155.24
50231,39144379.75
50232,22275926.04
50233,24328748.54
50234,36652877.52
50235,35734476.45
50236,40801605.48
50237,24625398.41
50238,20065464.3
50239,30033801.46
50240,33153517.77
50241,31397031.2
50242,36235545.6
50243,26684092
50244,40394941.19
50245,25247073.57
50246,31094138.54
50247,41664725.79
50248,34453318.83
50249,36760493.37
50250,23014282.8
50251,28093577.11
50252,28565791.1
50253,35389786.81
50254,24366364.77
50255,36458617.08
50256,32203792.57
50257,34628244.83
50258,23184787.16
50259,33319489.1
50260,29511227.88
50261,24073527.96
50262,20511993.36
50263,21302822.67
50264,28182450.63
50265,30276884.98
50266,31299376.18
50267,32573887.09
50268,34344980.01
50269,47208064.71
50270,38885510.56
50271,26948516.09
50272,34737032.71
50273,29952642.19
50274,14737498.53
50275,28684568.09
50276,31376435.09
50277,37931219.2
50278,17378240.74
50279,29516930.2
50280,32252872.02
50281,32139894.62
50282,35524945.92
50283,26895903.84
50284,37439265.46
50285,23834866
50286,28660440.99
50287,16568666.18
50288,46226635.02
50289,26302541.91
50290,33284936.18
50291,26835145.17
50292,23808565.89
50293,26426632.36
50294,17311336.83
50295,35771035.4
50296,26024555.11
50297,31773007.31
50298,33969874.49
50299,30510969.58
50300,29376912.2
50301,35592087.56
50302,20801472.57
50303,30093708.08
50304,40977920.46
50305,27004215.5
50306,37911801.52
50307,27598535.54
50308,34321246.61
50309,29774089.18
50310,27675417.95
50311,24058250.48
50312,34183546.83
50313,30287667.18
50314,31376508.88
50315,27001101.75
50316,40605652.22
50317,35941961.97
50318,33418201.96
50319,31204954.37
50320,37404458.18
50321,30017582.82
50322,25451430.89
50323,31773804.87
50324,30901841.86
50325,18565385.62
50326,34883645.95
50327,38085726.88
50328,28274186.69
50329,40568357.83
50330,30479938.61
50331,21070429.56
50332,28880750.05
50333,31137242.08
50334,27113740.67
50335,37562135.11
50336,35345257.98
50337,20884006.96
50338,23486387.71
50339,25239358.05
50340,29560462.69
50341,25404762.95
50342,33584007.95
50343,38493529.66
50344,34381703.72
50345,47408084.65
50346,25918423.38
50347,26416570.73
50348,23491944.04
50349,27295885.09
50350,30089177.4
50351,27014253.54
50352,34077297.18
50353,37471239.91
50354,40576202.86
50355,18991748.84
50356,29322564.33
50357,27918331.55
50358,27765928.59
50359,27189848.11
50360,21617929.52
50361,29017731.65
50362,37989778.8
50363,33496072.56
50364,40072564.06
50365,21988581.87
50366,40764908.8
50367,44931361.36
50368,23745507.78
50369,39435895.72
50370,19219028.15
50371,40172975.83
50372,33062522.72
50373,26639995.32
50374,36524617.65
50375,20910470.33
50376,22106421.31
50377,18248997.2
50378,26486644
50379,33318672.9
50380,18974949.24
50381,24659169.44
50382,40973601.39
50383,26831184.96
50384,29653358.19
50385,15549909
50386,28668759.49
50387,32681966.32
50388,31824508.95
50389,37490819.17
50390,28212890.12
50391,34181550.33
50392,42355202.95
50393,23990502.44
50394,25077601.71
50395,31404871.85
50396,33428589.47
50397,43213767.1
50398,29093078.37
50399,27358505.99
50400,37584869.56
50401,36574563.1
50402,16143504.02
50403,30563826.46
50404,37793706.9
50405,24115309.23
50406,29851151.07
50407,32949057.72
50408,30799130.16
50409,38298199
50410,32930996.76
50411,31393926.84
50412,28626506.89
50413,34162617.76
50414,25929474.59
50415,44929367.66
50416,34227964.77
50417,30061514.78
50418,35784544.3
50419,25845262.37
50420,30782211.89
50421,17777390.45
50422,35711562.4
50423,30927627.94
50424,40664538.03
50425,26599233.62
50426,37850566.18
50427,22858110.78
