,Registration Number,Annual Turnover
0,50001,35068517.19359954
1,50002,27823848.883299045
2,50003,26802892.067018993
3,50004,39832169.0612875
4,50005,32598507.974249654
5,50006,39046091.38685578
6,50007,26557193.012819976
7,50008,21303232.013953883
8,50009,35153480.07431466
9,50010,33600815.19007389
10,50011,37607934.69968383
11,50012,19437881.30455988
12,50013,32660059.27492314
13,50014,31784884.788403492
14,50015,40545414.171948805
15,50016,28821196.11649619
16,50017,20142517.98374346
17,50018,27519548.142158132
18,50019,40287136.3686309
19,50020,31558460.219361015
20,50021,29049272.89139778
21,50022,32220070.377491683
22,50023,21950469.12680637
23,50024,26803957.29197652
24,50025,21099708.495095905
25,50026,34926055.194998115
26,50027,37383101.46291987
27,50028,20549908.67631855
28,50029,29940169.154813178
29,50030,23885352.49490765
30,50031,42460815.35733399
31,50032,37727794.84628763
32,50033,41877190.846464425
33,50034,31957751.798006333
34,50035,31583155.119207602
35,50036,25200843.846683566
36,50037,39197735.48084398
37,50038,27005558.034223445
38,50039,33177428.456556678
39,50040,27274693.318688303
40,50041,40153607.954442665
41,50042,39568448.39471333
42,50043,26179103.522484835
43,50044,38478965.16025883
44,50045,36424331.95889174
45,50046,32290655.660732344
46,50047,19428052.891126923
47,50048,39821976.80674681
48,50049,39233321.41193704
49,50050,21590771.992820088
50,50051,19923171.3062294
51,50052,24384725.37437731
52,50053,32972790.966873247
53,50054,23301003.513124347
54,50055,40938905.222292036
55,50056,34774151.74308522
56,50057,29996744.013083592
57,50058,39354856.358954966
58,50059,31566631.345377915
59,50060,20751939.85479582
60,50061,28975754.434415
61,50062,31201701.776755705
62,50063,29183633.57831727
63,50064,29793368.564201556
64,50065,46300174.85132185
65,50066,28628677.037894096
66,50067,20731891.51827525
67,50068,31874374.563115705
68,50069,30157532.310367204
69,50070,25752315.161650784
70,50071,27325140.65081291
71,50072,37924715.481814936
72,50073,30571377.564684175
73,50074,28040276.55063198
74,50075,30774806.338273145
75,50076,26086234.820984736
76,50077,27610412.505522206
77,50078,18265016.32673125
78,50079,25013252.211170897
79,50080,32338016.612052847
80,50081,19970256.567444686
81,50082,34885640.31589671
82,50083,24380591.95316549
83,50084,33147764.67952725
84,50085,30113779.79458937
85,50086,27436639.85181313
86,50087,21832930.938067526
87,50088,48194015.79722978
88,50089,39759455.77124834
89,50090,27196057.770071235
90,50091,17174559.997023374
91,50092,26288210.818280794
92,50093,27097979.420379747
93,50094,30073573.164616752
94,50095,37215812.68332561
95,50096,23138580.949938305
96,50097,32608891.43298529
97,50098,35994757.71810484
98,50099,34646396.97883897
99,50100,31595323.11981516
100,50101,34842369.820271954
101,50102,28860411.310296975
102,50103,35604220.82814388
103,50104,34135318.574525274
104,50105,35956850.74563398
105,50106,31441922.047681995
106,50107,39799383.87763897
107,50108,29257565.57314242
108,50109,45058320.897850245
109,50110,34883224.078309804
110,50111,37163225.211499006
111,50112,26884725.952044275
112,50113,25044239.206320748
113,50114,36800099.96717492
114,50115,25915659.052215353
115,50116,32711469.291170716
116,50117,32054509.205158383
117,50118,24660192.800977603
118,50119,13272100.532142796
119,50120,23396424.996379986
120,50121,24829037.6916091
121,50122,24701070.146716226
122,50123,29300343.521986682
123,50124,18287793.36234253
124,50125,22087614.011801213
125,50126,22810556.102451712
126,50127,26098176.225649655
127,50128,27616339.748992935
128,50129,19016279.89195588
129,50130,35014629.97872529
130,50131,25684886.586336125
131,50132,27026021.530014873
132,50133,38145382.257323444
133,50134,26391300.680100664
134,50135,34799088.09992972
135,50136,41130627.21055752
136,50137,35281779.13685276
137,50138,35280073.50539397
138,50139,25769789.215345256
139,50140,25011377.299992673
140,50141,31331193.297654513
141,50142,34180649.92413879
142,50143,24544755.923193816
143,50144,30718836.538987607
144,50145,26184297.45912284
145,50146,36234093.015942596
146,50147,39889747.518436536
147,50148,23586461.374746438
148,50149,22674935.590175495
149,50150,34258258.015571244
150,50151,25890240.819122676
151,50152,12498923.930978734
152,50153,38688011.63868821
153,50154,17557541.99474214
154,50155,39506736.102857284
155,50156,21143068.019332524
156,50157,32478770.135029502
157,50158,41457056.9516336
158,50159,31951870.583164547
159,50160,18269607.842397965
160,50161,34536868.27305306
161,50162,45789349.99703352
162,50163,29563448.28480908
163,50164,38417562.661291145
164,50165,34331718.916264325
165,50166,19787991.86835464
166,50167,31958031.586750314
167,50168,29301377.361381676
168,50169,36269838.113281325
169,50170,32841010.974378534
170,50171,41685486.37083321
171,50172,31371631.15549134
172,50173,39616222.22297199
173,50174,33415693.079969056
174,50175,33316593.499746967
175,50176,33573662.86527005
176,50177,37155957.22358009
177,50178,47185334.43152286
178,50179,16346040.481399199
179,50180,39293281.626647145
180,50181,25015641.268743172
181,50182,29438670.281506114
182,50183,25000492.484322175
183,50184,41090422.193197
184,50185,37454788.80666468
185,50186,34534917.97705154
186,50187,23476198.308910497
187,50188,39244749.562929116
188,50189,28285616.955685176
189,50190,31631789.428191263
190,50191,28279122.468893837
191,50192,40345868.53448981
192,50193,38129008.791817605
193,50194,28920788.430744737
