Registration Number,Annual Turnover
50001,35820833.33
50002,29054166.67
50003,28429166.67
50004,42912500
50005,33783333.33
50006,35408333.33
50007,27008333.33
50008,24454166.67
50009,34525000
50010,27541666.67
50011,43079166.67
50012,31554166.67
50013,29750000
50014,32241666.67
50015,38325000
50016,32200000
50017,22829166.67
50018,29366666.67
50019,42933333.33
50020,33308333.33
50021,66500000
50022,30354166.67
50023,21290833.33
50024,24933333.33
50025,23925000
50026,33516666.67
50027,37100000
50028,24329166.67
50029,33916666.67
50030,30925000
50031,46041666.67
50032,38766666.67
50033,44208333.33
50034,22504166.67
50035,30662500
50036,27837500
50037,40837500
50038,29679166.67
50039,33608333.33
50040,31358333.33
50041,35479166.67
50042,42654166.67
50043,29837500
50044,30850000
50045,38100000
50046,29375000
50047,21537500
50048,39400000
50049,39275000
50050,21204166.67
50051,29858333.33
50052,33270833.33
50053,35241666.67
50054,22695000
50055,37658333.33
50056,34887500
50057,29504166.67
50058,36033333.33
50059,27595833.33
50060,22800000
50061,27683333.33
50062,28045833.33
50063,30829166.67
50064,30754166.67
50065,45654166.67
50066,24928333.33
50067,24854166.67
50068,41875000
50069,32937500
50070,30141666.67
50071,26300000
50072,34916666.67
50073,28254166.67
50074,26458333.33
50075,32437500
50076,29850000
50077,18790000
50078,26033333.33
50079,24033333.33
50080,35629166.67
50081,25870833.33
50082,32391666.67
50083,29458333.33
50084,31375000
50085,36329166.67
50086,28216666.67
50087,23666666.67
50088,42300000
50089,45925000
50090,29565833.33
50091,34245833.33
50092,24895833.33
50093,23245000
50094,32012500
50095,34512500
50096,29529166.67
50097,28162500
50098,42570833.33
50099,33454166.67
50100,28679166.67
50101,36862500
50102,24137500
50103,33570833.33
50104,32954166.67
50105,39008333.33
50106,26962500
50107,45716666.67
50108,31375000
50109,43733333.33
50110,34329166.67
50111,40858333.33
50112,26266666.67
50113,27200000
50114,35137500
50115,25379166.67
50116,33400000
50117,50433333.33
50118,26633333.33
50119,19466666.67
50120,28812500
50121,31137500
50122,21570833.33
50123,31004166.67
50124,23062500
50125,23979166.67
50126,23308333.33
50127,21645833.33
50128,21583333.33
50129,24879166.67
50130,25850000
50131,29558333.33
50132,34754166.67
50133,37912500
50134,55387500
50135,29741666.67
50136,36433333.33
50137,34508333.33
50138,32783333.33
50139,22745833.33
50140,25629166.67
50141,31787500
50142,37604166.67
50143,24387500
50144,34150000
50145,25195833.33
50146,35020833.33
50147,42575000
50148,31937500
50149,30325000
50150,34804166.67
50151,29204166.67
50152,24845833.33
50153,44829166.67
50154,23925000
50155,39062500
50156,23433333.33
50157,37929166.67
50158,37870833.33
50159,31495833.33
50160,26662500
50161,28337500
50162,42975000
50163,30120833.33
50164,37545833.33
50165,43179166.67
50166,27075000
50167,48670833.33
50168,34833333.33
50169,36900000
50170,29550000
50171,37858333.33
50172,36916666.67
50173,39762500
50174,29420833.33
50175,38395833.33
50176,30291666.67
50177,28633333.33
50178,43237500
50179,17883333.33
50180,46637500
50181,27386666.67
50182,27987500
50183,23129166.67
50184,44375000
50185,35387500
50186,35329166.67
50187,26429166.67
50188,40491666.67
50189,31512500
50190,27141666.67
50191,25662500
50192,41620833.33
50193,34300000
50194,29758333.33
50195,37725000
50196,24687500
50197,23579166.67
50198,21100000
50199,24550000
50200,56187500
50201,26150000
50202,30812500
50203,27795833.33
50204,36900000
50205,24103333.33
50206,41654166.67
50207,24904166.67
50208,49787500
50209,27341666.67
50210,37916666.67
50211,32733333.33
50212,33454166.67
50213,35416666.67
50214,34958333.33
50215,32820833.33
50216,33079166.67
50217,32200000
50218,35766666.67
50219,21650000
50220,27966666.67
50221,43858333.33
50222,31050000
50223,25041666.67
50224,18141666.67
50225,30579166.67
50226,33912500
50227,24150000
50228,26383333.33
50229,20904166.67
50230,43250000
50231,33262500
50232,23883333.33
50233,22429166.67
50234,38612500
50235,34370833.33
50236,45495833.33
50237,40062500
50238,23350000
50239,26975000
50240,34058333.33
50241,35295833.33
50242,34875000
50243,23720833.33
50244,42037500
50245,30741666.67
50246,24679166.67
50247,41616666.67
50248,38954166.67
50249,34195833.33
50250,24966666.67
50251,28720833.33
50252,24083333.33
50253,39529166.67
50254,23175000
50255,36066666.67
50256,28175000
50257,23854166.67
50258,22433333.33
50259,30683333.33
50260,31175000
50261,28079166.67
50262,22887500
50263,24729166.67
50264,30841666.67
50265,35083333.33
50266,32504166.67
50267,31541666.67
50268,36866666.67
50269,41916666.67
50270,34220833.33
50271,23075000
50272,35662500
50273,26795833.33
50274,21100000
50275,30883333.33
50276,30391666.67
50277,36854166.67
50278,24245833.33
50279,30212500
50280,35516666.67
50281,32845833.33
50282,31808333.33
50283,26687500
50284,54379166.67
50285,25479166.67
50286,31837500
50287,21170000
50288,55870833.33
50289,25091666.67
50290,35979166.67
50291,23475000
50292,27795833.33
50293,23949166.67
50294,20808333.33
50295,35145833.33
50296,30108333.33
50297,32416666.67
50298,34212500
50299,23599166.67
50300,32175000
50301,50450000
50302,21912500
50303,29900000
50304,38687500
50305,24308333.33
50306,47408333.33
50307,30516666.67
50308,34354166.67
50309,30666666.67
50310,24800000
50311,23379166.67
50312,34766666.67
50313,25900000
50314,30666666.67
50315,21695000
50316,45404166.67
50317,33250000
50318,32104166.67
50319,20395833.33
50320,40816666.67
50321,30404166.67
50322,23262500
50323,31262500
50324,25312500
50325,23420833.33
50326,49466666.67
50327,36633333.33
50328,30804166.67
50329,45550000
50330,31712500
50331,32520833.33
50332,30604166.67
50333,30258333.33
50334,28600000
50335,38383333.33
50336,37879166.67
50337,23808333.33
50338,20545833.33
50339,28408333.33
50340,27837500
50341,23986666.67
50342,32516666.67
50343,34475000
50344,32995833.33
50345,44870833.33
50346,22062500
50347,26612500
50348,23198333.33
50349,21954166.67
50350,30279166.67
50351,26320833.33
50352,35908333.33
50353,40366666.67
50354,40191666.67
50355,21416666.67
50356,30525000
50357,26662500
50358,24929166.67
50359,25150000
50360,26820833.33
50361,32458333.33
50362,33945833.33
50363,30758333.33
50364,43412500
50365,25529166.67
50366,37662500
50367,42795833.33
50368,18408333.33
50369,32775000
50370,29445833.33
50371,40395833.33
50372,34245833.33
50373,28904166.67
50374,33133333.33
50375,29087500
50376,23731666.67
50377,18875000
50378,26820833.33
50379,27920833.33
50380,20408333.33
50381,24641666.67
50382,51258333.33
50383,29920833.33
50384,29975000
50385,20737500
50386,25733333.33
50387,34745833.33
50388,32370833.33
50389,39054166.67
50390,23883333.33
50391,33195833.33
50392,40370833.33
50393,21354166.67
50394,31308333.33
50395,30433333.33
50396,32191666.67
50397,41966666.67
50398,24245833.33
50399,31116666.67
50400,38254166.67
50401,29512500
50402,19082500
50403,29312500
50404,40891666.67
50405,24116666.67
50406,27137500
50407,30883333.33
50408,27695833.33
50409,35983333.33
50410,35720833.33
50411,25666666.67
50412,26441666.67
50413,31970833.33
50414,25637500
50415,68554166.67
50416,35612500
50417,30166666.67
50418,33033333.33
50419,26487500
50420,30391666.67
50421,21175000
50422,34033333.33
50423,34545833.33
50424,28083333.33
50425,23491666.67
50426,32216666.67
50427,23654166.67
50428,21345833.33
50429,22103333.33
50430,20562500
50431,19912500
50432,24857500
50433,26833333.33
50434,25104166.67
50435,39633333.33
50436,40595833.33
50437,32800000
50438,32304166.67
50439,24916666.67
50440,34062500
50441,23675000
50442,23770833.33
50443,28833333.33
50444,27712500
50445,25266666.67
50446,24487500
50447,41870833.33
50448,22616666.67
50449,45841666.67
50450,31995833.33
50451,35475000
50452,19975000
50453,26408333.33
50454,26883333.33
50455,19670833.33
50456,22275000
50457,30170833.33
50458,18316666.67
50459,35629166.67
50460,23120833.33
50461,27904166.67
50462,36333333.33
50463,29808333.33
50464,29616666.67
50465,28725000
50466,34495833.33
50467,32395833.33
50468,39775000
50469,34087500
50470,22458333.33
50471,33595833.33
50472,28987500
50473,36412500
50474,25154166.67
50475,36537500
50476,38054166.67
50477,27012500
50478,36570833.33
50479,26429166.67
50480,22374166.67
50481,36366666.67
50482,38116666.67
50483,37083333.33
50484,29808333.33
50485,36091666.67
50486,28070833.33
50487,36316666.67
50488,32850000
50489,37225000
50490,26841666.67
50491,24666666.67
50492,29304166.67
50493,37854166.67
50494,29908333.33
50495,22162500
50496,21012500
50497,31062500
50498,26762500
50499,25662500
50500,33425000
