,Registration Number,Annual Turnover
0,50001,55011263.64218924
1,50002,28066331.102977432
2,50003,28190246.98627805
3,50004,40416426.98284656
4,50005,33691862.27435673
5,50006,36757981.11910185
6,50007,30654373.8392613
7,50008,21866745.91818381
8,50009,30891946.91120764
9,50010,24618557.878324945
10,50011,36344997.21186608
11,50012,25015954.784685206
12,50013,31068978.608233817
13,50014,30758103.72339906
14,50015,57851696.61593236
15,50016,30975875.187169943
16,50017,23514278.32596048
17,50018,39672298.02639697
18,50019,32699041.53998389
19,50020,33054041.03005366
20,50021,34947662.48798902
21,50022,29693793.157489788
22,50023,27487869.31657066
23,50024,26108358.227058515
24,50025,28259574.699051
25,50026,33216973.789622124
26,50027,35046755.97426278
27,50028,20474066.29056351
28,50029,34909359.6492684
29,50030,28351110.22878208
30,50031,51878578.60147181
31,50032,37199578.59475795
32,50033,40248590.75077732
33,50034,25620305.659974385
34,50035,36879716.652206674
35,50036,28022501.272878718
36,50037,45072784.95485082
37,50038,31308756.34814155
38,50039,34209997.53209421
39,50040,33051889.617223404
40,50041,33986081.03554553
41,50042,38706174.738585025
42,50043,30082943.34052511
43,50044,28167772.549217105
44,50045,35551328.0961794
45,50046,30915309.457704548
46,50047,23096465.16499628
47,50048,42455931.46087823
48,50049,37249257.772589594
49,50050,22221280.7695176
50,50051,25239192.697811183
51,50052,30130549.110921483
52,50053,35956022.2404627
53,50054,22715308.50025781
54,50055,34587677.43743419
55,50056,34483879.7254303
56,50057,28844878.643587444
57,50058,37105395.07798079
58,50059,29016067.705082327
59,50060,36481461.46797459
60,50061,32137412.135453656
61,50062,30598974.284932606
62,50063,29846282.34271201
63,50064,25855456.32454298
64,50065,44770554.737207636
65,50066,26718639.33682435
66,50067,25239547.57929289
67,50068,40008590.46084976
68,50069,31167211.141340837
69,50070,30166066.383008912
70,50071,30151027.92935487
71,50072,38070291.28112239
72,50073,27106004.586725187
73,50074,24979271.742957473
74,50075,30217785.64628618
75,50076,31564952.874904115
76,50077,28474005.304910965
77,50078,25558962.5809717
78,50079,21465986.67526317
79,50080,35210086.420987114
80,50081,23274970.80969188
81,50082,32852355.782805845
82,50083,28179552.25044359
83,50084,36995053.636549704
84,50085,35906077.24235868
85,50086,27911854.533278923
86,50087,24063533.613129564
87,50088,44112405.81981041
88,50089,40051014.093142524
89,50090,32587750.26955844
90,50091,26716987.166268326
91,50092,25740176.53390402
92,50093,26114055.14661501
93,50094,29784841.146066163
94,50095,35828288.87596562
95,50096,29585733.337542597
96,50097,28974986.698365074
97,50098,45859717.91333211
98,50099,32607339.235381242
99,50100,30017329.34642569
100,50101,37319110.36643122
101,50102,28324102.325953327
102,50103,32786177.069544025
103,50104,29324723.25331668
104,50105,33929430.74794444
105,50106,28727371.16328929
106,50107,39033010.93754557
107,50108,33587018.12560265
108,50109,43447885.31510006
109,50110,34791647.84079713
110,50111,35648571.65218372
111,50112,25972470.824977905
112,50113,22217361.019921117
113,50114,35713481.70895593
114,50115,28660071.031895902
115,50116,34940737.578798465
116,50117,32220287.872750845
117,50118,26242022.326588288
118,50119,25691372.144513946
119,50120,27750090.3223557
