Registration Number,Annual Turnover
50001,32409166.67
50002,30477500
50003,26461666.67
50004,42252916.67
50005,35938750
50006,36462083.33
50007,26652916.67
50008,23355000
50009,34637083.33
50010,30405833.33
50011,37601250
50012,21995000
50013,30318333.33
50014,36864583.33
50015,38241666.67
50016,30365833.33
50017,19375416.67
50018,40142916.67
50019,41491666.67
50020,32254583.33
50021,29687500
50022,37662083.33
50023,28245750
50024,25139166.67
50025,24863083.33
50026,33087500
50027,34031666.67
50028,31347083.33
50029,29320833.33
50030,24823333.33
50031,49865833.33
50032,35975416.67
50033,37235416.67
50034,23782916.67
50035,29397500
50036,34001250
50037,33301666.67
50038,29822916.67
50039,31458333.33
50040,29819583.33
50041,29126250
50042,36440000
50043,30014166.67
50044,28098333.33
50045,40764166.67
50046,29402083.33
50047,21052500
50048,41165416.67
50049,41802916.67
50050,21904166.67
50051,22752916.67
50052,30996666.67
50053,40441666.67
50054,28546250
50055,32617083.33
50056,45273333.33
50057,32500416.67
50058,37647916.67
50059,29755833.33
50060,20917083.33
50061,25551666.67
50062,31860833.33
50063,30594583.33
50064,21710416.67
50065,48477500
50066,21157250
50067,24908333.33
50068,31007083.33
50069,36658750
50070,32721666.67
50071,28291666.67
50072,36566250
50073,27396666.67
50074,25016250
50075,27692916.67
50076,30044583.33
50077,19432500
50078,21299083.33
50079,22951250
50080,33680000
50081,25409583.33
50082,30148750
50083,26022083.33
50084,30157500
50085,35397083.33
50086,20266250
50087,25108333.33
50088,45936250
50089,45367083.33
50090,31733750
50091,26296250
50092,20102000
50093,20814583.33
50094,30857083.33
50095,38653750
50096,27774583.33
50097,28512500
50098,45165416.67
50099,31470416.67
50100,29093333.33
50101,35253333.33
50102,21416666.67
50103,33590000
50104,31236666.67
50105,32892083.33
50106,26680416.67
50107,40311666.67
50108,34078333.33
50109,41455000
50110,31308750
50111,32547916.67
50112,25854583.33
50113,21381583.33
50114,36552916.67
50115,30039166.67
50116,32476250
50117,26895416.67
50118,22661666.67
50119,16877916.67
50120,26872500
50121,23872916.67
50122,24455750
50123,32425000
50124,22393750
50125,17737916.67
50126,21139583.33
50127,24282916.67
50128,23789166.67
50129,25157500
50130,21675416.67
50131,27087500
50132,26537083.33
50133,38516666.67
50134,35504166.67
50135,32671666.67
50136,45142500
50137,37720000
50138,36227916.67
50139,37857083.33
50140,29725833.33
50141,28582083.33
50142,36303333.33
50143,22852916.67
50144,31874166.67
50145,25969166.67
50146,44238750
50147,42683750
50148,21783750
50149,20401666.67
50150,29092083.33
50151,26103750
50152,22942083.33
50153,40425000
50154,22659583.33
50155,43083750
50156,23050833.33
50157,29584583.33
50158,36338333.33
50159,30357916.67
50160,26695000
50161,25752083.33
50162,70616250
50163,27658750
50164,33651250
50165,34926666.67
50166,26374583.33
50167,37275000
50168,33080833.33
50169,36117500
50170,29731666.67
50171,40439583.33
50172,34573333.33
50173,40852083.33
50174,31147500
50175,39584583.33
50176,29614166.67
50177,33520833.33
50178,47432083.33
50179,18629583.33
50180,49760833.33
50181,25929166.67
50182,27208333.33
50183,22514583.33
50184,42359583.33
50185,36451666.67
50186,32177083.33
50187,22668750
50188,35654166.67
50189,32518750
50190,32888333.33
50191,22771083.33
50192,37950833.33
50193,32957916.67
50194,24626250
50195,38723333.33
50196,22303333.33
50197,23445416.67
50198,16809583.33
50199,22764583.33
50200,53732083.33
50201,18373333.33
50202,26651250
50203,24432500
50204,35455833.33
50205,25762916.67
50206,34546666.67
50207,33346666.67
50208,41256666.67
50209,25865833.33
50210,34533333.33
50211,29690000
50212,34205833.33
50213,33401250
50214,34064583.33
50215,33021666.67
50216,35384166.67
50217,21103083.33
50218,35592500
50219,23798750
50220,20815000
50221,49328750
50222,24389583.33
50223,28930833.33
50224,16470000
50225,32407916.67
50226,32362083.33
50227,23869166.67
50228,25356666.67
50229,24167916.67
50230,46092083.33
50231,40311666.67
50232,16913750
50233,18825833.33
50234,42337500
50235,33617500
50236,46683750
50237,32010000
50238,46962416.67
50239,29298750
50240,37153333.33
50241,31502916.67
50242,32264166.67
50243,24390000
50244,58386250
50245,26906250
50246,20103333.33
50247,47785416.67
50248,33532500
50249,32440416.67
50250,25882083.33
50251,30528750
50252,26135000
50253,41552500
50254,22314166.67
50255,33329583.33
50256,30137083.33
50257,22971250
50258,27515666.67
50259,36075000
50260,35401250
50261,27973333.33
50262,19261250
50263,23094166.67
50264,28931250
50265,31035000
50266,25789166.67
50267,30726250
50268,43915416.67
50269,46911250
50270,38721666.67
50271,22949583.33
50272,33201250
50273,26348750
50274,16805833.33
50275,29765833.33
50276,24721250
50277,37090833.33
50278,24197500
50279,24846666.67
50280,32522500
50281,33199583.33
50282,34676666.67
50283,31144166.67
50284,46525833.33
50285,23947083.33
50286,31297500
50287,22282500
50288,53838333.33
50289,22404166.67
50290,38307500
50291,24065000
50292,23512916.67
50293,34247416.67
50294,21137833.33
50295,31138750
50296,26202083.33
50297,25886250
50298,33072916.67
50299,27966250
50300,32481666.67
50301,53775000
50302,20394583.33
50303,26777916.67
50304,41862916.67
50305,23615833.33
50306,48833750
50307,27511666.67
50308,37698333.33
50309,26022916.67
50310,24700833.33
50311,26175000
50312,34245416.67
50313,26945416.67
50314,34797083.33
50315,18579166.67
50316,40896666.67
50317,34127500
50318,29885000
50319,27287083.33
50320,32487916.67
50321,30996250
50322,17727500
50323,34480416.67
50324,25030416.67
50325,29629583.33
50326,32565416.67
50327,37583750
50328,24037916.67
50329,43751250
50330,31041666.67
50331,20919583.33
50332,31215416.67
50333,28404166.67
50334,25414166.67
50335,36330833.33
50336,36925000
50337,27352916.67
50338,24354166.67
50339,25532916.67
50340,31874583.33
50341,19297916.67
50342,33118333.33
50343,32800416.67
50344,36505833.33
50345,72016666.67
50346,23736250
50347,27778333.33
50348,24109833.33
50349,25088750
50350,26744583.33
50351,26135416.67
50352,30987083.33
50353,32155416.67
50354,42043333.33
50355,19584583.33
50356,27995000
50357,26032083.33
50358,25241250
50359,27571166.67
50360,25190000
50361,32113333.33
50362,35680416.67
50363,28585833.33
50364,44167916.67
50365,20813333.33
50366,36231250
50367,41863333.33
50368,21102083.33
50369,38293333.33
50370,24787083.33
50371,42689166.67
50372,35712916.67
50373,23960416.67
50374,30260833.33
50375,21799166.67
50376,18255000
50377,19787083.33
50378,25786250
50379,32041250
50380,23590416.67
50381,24322083.33
50382,39516250
50383,29316666.67
50384,31214583.33
50385,17068750
50386,27913750
50387,30532916.67
50388,29619583.33
50389,41507916.67
50390,21389583.33
50391,33810416.67
50392,37060833.33
50393,21819583.33
50394,16854583.33
50395,27934166.67
50396,34385416.67
50397,46261250
50398,26895416.67
50399,22827500
50400,37264166.67
50401,36809583.33
50402,15322416.67
50403,29800833.33
50404,43155833.33
50405,25552500
50406,27013333.33
50407,35979166.67
50408,26736666.67
50409,41888750
50410,33967083.33
50411,27855000
50412,27794500
50413,33630416.67
50414,26492083.33
50415,45433750
50416,33068333.33
50417,20623333.33
50418,27970416.67
50419,28320000
50420,29191666.67
50421,16977916.67
50422,32888333.33
50423,33816666.67
50424,32099583.33
50425,20858333.33
50426,38292083.33
50427,22147500
50428,26110000
50429,20575416.67
50430,20162500
50431,19574166.67
50432,24069166.67
50433,21225833.33
50434,25691250
50435,35925833.33
50436,34967916.67
50437,31099583.33
50438,33446250
50439,26365833.33
50440,32665416.67
50441,36709000
50442,22187916.67
50443,26041666.67
50444,26054166.67
50445,29512916.67
50446,27579583.33
50447,45383333.33
50448,18355333.33
50449,56077500
50450,32842500
50451,30651250
50452,20497083.33
